id,calories,proteins,fat,carbohydrate,name,image
1,280,9.2,28.4,0,Abon,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Abon.jpg
2,513,23.7,37,21.3,Abon haruwan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Abon_haruwan.jpg
3,0,0,0.2,0,Agar-agar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Agar-agar.jpg
4,45,1.1,0.4,10.8,Akar tonjong segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Akar_tonjong_segar.jpg
5,37,4.4,0.5,3.8,Aletoge segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Aletoge_segar.jpg
7,96,3.7,0.6,19.1,Ampas kacang hijau,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ampas_kacang_hijau.jpg
8,414,26.6,18.3,41.3,Ampas Tahu,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ampas_Tahu.jpg
9,75,4.1,2.1,10.7,Ampas tahu kukus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ampas_tahu_kukus.jpg
10,67,5,2.1,8.1,Ampas tahu mentah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ampas_tahu_mentah.jpg
11,184,18.8,14,0,Anak sapi daging gemuk segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Anak_sapi_daging_gemuk_segar.jpg
12,174,19.6,10,0,Anak sapi daging kurus segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Anak_sapi_daging_kurus_segar.jpg
13,190,19.1,12,0,Anak sapi daging sedang segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Anak_sapi_daging_sedang_segar.jpg
14,99,4.6,1,18,Andaliman segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Andaliman_segar.jpg
15,25,1.6,0.2,5.3,Andewi,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Andewi.jpg
16,30,0.5,0.2,6.8,Anggur hutan segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Anggur_hutan_segar.jpg
17,354,16.4,31.5,0,Angsa,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Angsa.jpg
18,126,3.4,7.9,10.3,Anyang sayur,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Anyang_sayur.jpg
19,58,0.3,0.4,14.9,Apel,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Apel.jpg
21,37,0.8,0.5,8.3,Arbei,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Arbei.jpg
22,113,0.9,7.2,11.2,Ares sayur,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ares_sayur.jpg
23,102,1,0.2,24.1,Arrowroot segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Arrowroot_segar.jpg
25,75,0.2,1.1,16.1,Asam kandis segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Asam_kandis_segar.jpg
26,239,2.8,0.6,62.5,Asam masak di pohon,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Asam_masak_di_pohon.jpg
27,135,0.8,0.4,32.1,Asam payak segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Asam_payak_segar.jpg
28,261,0.9,1.6,63.3,Asan kandis kering,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Asan_kandis_kering.jpg
30,302,18.2,25,0,Ayam,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam.jpg
31,297,35.9,15.2,1.6,Ayam  goreng Kentuckysayap,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam__goreng_Kentuckysayap.jpg
32,270,32.3,11.2,9.9,Ayam ampela goreng,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_ampela_goreng.jpg
36,275,37.4,12.2,1.3,Ayam goreng kalasan paha,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_goreng_kalasan_paha.jpg
37,298,34.2,16.8,0.1,Ayam goreng kentucky dada,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_goreng_kentucky_dada.jpg
38,286,32.1,16.1,1.1,Ayam goreng Kentucky paha,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_goreng_Kentucky_paha.jpg
39,295,39.2,13.6,1,Ayam goreng mbok berek dada,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_goreng_mbok_berek_dada.jpg
40,287,31,15.7,1.7,Ayam goreng paha,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_goreng_paha.jpg
41,246,37.9,9,0.7,Ayam goreng pasundan dada,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_goreng_pasundan_dada.jpg
42,245,33.1,11.4,0.3,Ayam goreng pasundan paha,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_goreng_pasundan_paha.jpg
43,295,37.4,14.7,0.6,Ayam goreng pioneer dada,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_goreng_pioneer_dada.jpg
44,244,36.7,9.2,1,Ayam goreng sukabumi dada,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_goreng_sukabumi_dada.jpg
45,283,35.7,14.3,0.5,Ayam goreng sukabumi paha,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_goreng_sukabumi_paha.jpg
46,261,27.4,16.1,1.6,Ayam hati segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_hati_segar.jpg
47,264,18.2,20.1,2.7,Ayam taliwang masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_taliwang_masakan.jpg
48,473,45.2,26.3,13.9,Ayam usus goreng,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ayam_usus_goreng.jpg
49,113,17.6,4.2,0,Babat,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Babat.jpg
50,453,11.9,45,0,Babi daging gemuk segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Babi_daging_gemuk_segar.jpg
51,371,14.1,35,0,Babi daging kurus segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Babi_daging_kurus_segar.jpg
53,129,19.7,4.8,1.7,Babi hati segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Babi_hati_segar.jpg
54,491,24.6,16.3,0.2,Babi hutan masak rica masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Babi_hutan_masak_rica_masakan.jpg
55,102.9,3.3,2.7,16.3,Bacang,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bacang.jpg
56,450,3.2,13.9,78.1,Bagea kelapa asin,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bagea_kelapa_asin.jpg
57,452,1.3,13.8,80.6,Bagea kelapa manis,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bagea_kelapa_manis.jpg
58,529,3.2,29.1,63.6,Bagea kenari asin,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bagea_kenari_asin.jpg
59,523,3.2,28.2,64.2,Bagea kenari manis,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bagea_kenari_manis.jpg
60,416,6.5,9.4,76.3,Bagea kw 1,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bagea_kw_1.jpg
61,382,0.3,3.5,87.2,Bagea kw 2,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bagea_kw_2.jpg
62,129,1.9,6.6,15.6,Baje,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Baje.jpg
63,272,8.7,6.7,44.1,Bakpia kue,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bakpia_kue.jpg
64,76,4.1,2.5,9.2,Bakso ,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bakso_.jpg
65,27,2,0.2,4.2,Bakung segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bakung_segar.jpg
66,280,8.2,10.2,39,Bakwan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bakwan.jpg
67,13,0.4,0.2,3,Baligo,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Baligo.jpg
68,190,3.3,0.3,43.5,Bantal,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bantal.jpg
69,159,3.1,5.8,23.5,Barongko,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Barongko.jpg
70,137,4.3,4.8,19.1,Batang Tading,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Batang_Tading.jpg
71,107,2.2,2.2,19.6,Batar daan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Batar_daan.jpg
72,76,1.1,0.9,16,Batatas gembili segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Batatas_gembili_segar.jpg
73,110,1.4,1.1,23.4,Batatas kelapa ubi bakar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Batatas_kelapa_ubi_bakar.jpg
74,92,1.2,0.3,21,Batatas kelapa ubi kukus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Batatas_kelapa_ubi_kukus.jpg
76,182,2.4,0.4,42.2,Batatas tali ubi rebus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Batatas_tali_ubi_rebus.jpg
77,45,1.4,0.2,10.3,Bawang Bombay,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bawang_Bombay.jpg
78,39,1.5,0.3,0.2,Bawang Merah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bawang_Merah.jpg
79,95,4.5,0.2,23.1,Bawang Putih,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bawang_Putih.jpg
80,30,1.3,0.7,5.8,Bayam kukus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bayam_kukus.jpg
81,51,4.6,0.5,10,Bayam Merah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bayam_Merah.jpg
82,41,2.2,0.8,6.3,Bayam merah segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bayam_merah_segar.jpg
83,23,1.2,0.6,3.7,Bayam rebus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bayam_rebus.jpg
84,36,3.5,0.5,6.5,Bayam segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bayam_segar.jpg
86,48,1.4,4.2,2.6,Bayam tumis bersantan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bayam_tumis_bersantan.jpg
87,326,16,28.6,0,Bebek (itik),https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bebek_(itik).jpg
88,303,11.3,27,3.7,Bebek alabio daging segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bebek_alabio_daging_segar.jpg
89,300,24,20.7,4.5,Bebek daging goreng,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bebek_daging_goreng.jpg
90,65,1.1,5.2,3.5,Beberuk,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Beberuk.jpg
93,132,9.8,1.1,20.7,Beef yakiniku masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Beef_yakiniku_masakan.jpg
94,116,11.9,4.9,6.1,Bekasam,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bekasam.jpg
97,36,0.4,0.4,8.8,Belimbing,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Belimbing.jpg
98,145,1.2,0.4,34.2,Belitung talas kukus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Belitung_talas_kukus.jpg
99,417,25.9,19.4,32,Belut goreng,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Belut_goreng.jpg
100,70,14.6,0.8,1,Belut segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Belut_segar.jpg
103,98,1.6,0.7,20.9,Bentul (Komba)  talas segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bentul_(Komba)__talas_segar.jpg
104,71,2.3,0.3,15.4,Bentul talas kukus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Bentul_talas_kukus.jpg
105,350,2.7,1.1,82.3,Beras Cerdas,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Beras_Cerdas.jpg
106,364,3.4,0.7,86.3,Beras ganyong,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Beras_ganyong.jpg
107,360,6.8,0.7,78.9,Beras Giling,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Beras_Giling.jpg
109,357,8.4,1.7,77.1,Beras giling mentah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Beras_giling_mentah.jpg
110,369,9.5,1.4,77.1,Beras giling var pelita mentah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Beras_giling_var_pelita_mentah.jpg
111,357,8.4,1.7,77.1,Beras giling var rojolele mentah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Beras_giling_var_rojolele_mentah.jpg
114,307,4.8,0.1,71.8,Beras jagung putih kering mentah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Beras_jagung_putih_kering_mentah.jpg
115,356,7,0.7,78,Beras Ketan Hitam,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Beras_Ketan_Hitam.jpg
116,181,4,1.2,37.3,Beras Ketan Hitam kukus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Beras_Ketan_Hitam_kukus.jpg
